q0,Como te llamas?
q1,"Es viernes y  tuviste una semana muy pesada quieres
relajarte un rato, pero por tu cabeza pasan dos posibles opciones:
1. Buscar transporte para irte
2. Ir a carulla a parchar mientras baja el trancon"
A_1_Seleccion_de_transporte,"Empiezas a contemplar como podrías irte a tu casa
y a tu mente llegan tres opciones:
1. Tomar el bus del MIO
2. Esperar un cupo
3. Irte con tu amigo el fiestero que ofreció llevarte"
A_2_MIO,"Decides tomar el MIO, sin embargo te das cuenta que es una
mala decision pues el bus se empieza a detener al poco tiempo
de subirte.
En este punto tomas en consideración tres posibles opciones:
1. Esperar el siguiente bus del MIO
2. Tomar el cupo
3. Ir con tu amigo fiestero"
A_3_1_Cupo,"Tomas el cupo y vas muy lento incluso parecía una mejor idea
ir con tu amigo. Pero espera... Aún es una opción:
1. Dormir en el cupo hasta llegar a casa
2. Bajar e ir con tu amigo"
A_4_Amigo," Tu amigo te lleva en su auto y te propone tres opciones:
1. Ir a la discoteca 1060.
2. Ir a la discoteca Sagsa.
3. Ir a tu casa"
A_4_1_1060,"Te unes a la fiesta en ""1060"" y empiezas a divertirte, pero te
das cuenta de que has perdido la noción del tiempo. La fiesta 
en ""1060"" sigue y sigue. Te enfrentas a decisiones como:
1. Seguir disfrutando de la fiesta.
2. Intentar salir de la fiesta para finalmente llegar a casa."
A_4_3_Sagsa.,"Intentas salir de la fiesta en ""1060"", pero te encuentras con 
más obstáculos y distracciones en el camino incluso ves a lo 
lejos como "
A_4_3_Sagsa,"Te  terminas uniendo a la fiesta en ""Sagsa"" y la noche se 
vuelve más loca de lo que imaginabas.
La fiesta se pone salvaje, y te enfrentas a decisiones como:
1. Seguir la fiesta en ""Sagsa"".
2. Intentar regresar a casa en medio de la locura."
A_4_4_Carulla.,"Todo el camino es distinguiblemente el camino a tu casa, 
sin embargo cada vez que vas a llegar y das el último giro 
apareces en Carulla mientras "
A_4_4_Carulla,"Lo intentaste, quizás fue mayor el deseo de pasar un buen rato
que subconscientemente te gano y te trajo a parchar en Carulla."
A_3_2_Cupo,"Decidiste continuar en el cupo, duermes un rato y te despiertas 
muy cerca a tu casa. Sin embargo estás tan cansado que tus 
ojos se empiezan a cerrar.
Cuando vuelves a levantarte estás un poco más lejos.
1. Caminas hasta llegar a tu casa.
2. Te quedas esperando a que llegue tu amigo fiestero a recogerte y llevarte a tu casa"
A_3_3_Caminar,"Después de un rato logras llegar a tu casa, y tomar un 
merecido descanso felicitaciones tienes tu recompensa.
"
B_1_carulla,"Me encuentro un grupo de personas en carulla, sin embargo
son desconocidos:
1. Intento socializar y pongo conversacion
2. Me quedo mirando el celular y no hablo con nadie"
B_2_nuevosAmigos,"Me presento y me incluyen en su grupo.
Me dicen de poner 10mil para comprar cerveza.
1. aceptar 
2. negarme"
B_3_celular.,"Me quedo usando el celular hasta que veo que me quedaré 
sin pila mientras estoy viendo un video de como"
B_3_celular,"Considero dos opciones:
1. Pedir un uber
2. Buscar a algun amigo que pueda llevarme"
B_4_cervezas,"Doy la plata y empiezo a tomar hasta ponerme un poco mal
1. retirarme
2. tomar mas"
B_5_retirada.,"Te retiras buscando llegar a la casa pero el mio ya cerró miras 
hacia la estación y solo ves como
"
B_5_retirada,"Entonces tienes tres opciones:
1. pedir un taxi
2. caminar hasta llegar (muy lejos)
3. dormir en la calle"
B_6_vomito,"Seguiste tomando hasta vomitar y terminar desmayado.
No llegaste a tu casa."
B_7_taxi,"Agarraste el primer taxi que viste de camino a la casa pero 
el taxista iba muy loco y se mataron.
"
B_8_dormir,"Tomaste la decision de dormir en la calle esto claramente 
implica no llegar a la casa.
"
B_9_caminar,"Emprendes tu viaje a pie. Despues de un buen rato aparece un 
habitante de calle que te ofrece ayudarte a llegar en su carreta.
1. montarse 
2. ignorar
3. golpear y me robo la carreta"
B_10_montarse,"Te pones de acuerdo con el loquito y te lleva en su carreta. Despues
de un rato te preguntas que tan seguro es lo que estas haciendo. 
1. seguir en la carreta
2. saltar y correr"
B_11_ignorado.,"El loco se siente discriminado por ingorarlo y procede a chuzarte 
hasta morir. Mientras tanto cerca tuyo"
B_11_ignorado,Es seguro que no llegaste a tu casa.
B_12_robo,"De alguna forma esto sale bien y decides volverte habitante de 
calle profesional y no volver a la casa ni a la u. Victoria?"
B_13_final,"Logras llegar a tu casa no fue facil y lo mejor de todo, ahora tienes
un amigo en la calle y unos cuantos en Carulla."
B_14_amigo,"Encuentras un amigo que puede llevarte pero te invita primero a 
jugar y te humilla
1. Jugar fifa
2. Pedir revancha"
B_15_fifa,"Se quedaron jugando fifa hasta quedarse dormidos y no llegaste a 
tu casa. Igual tuviste un buen sitio donde dormir."
B_16_partida,"Tu amigo decide dejarte el roto porque esta cansado y te toca irte.
1. en taxi
2. a pie"
B_17_uber,"Te montas en un uber pero a mitad de camino se pincha y quedas 
tirado y sin plata. 
1. Caminar hasta la casa
2. levantar dedo hasta que alguien te lleve"
B_18_solo,"Nadie acepto llevarte, te toca quedarte solo y resolver como puedas."
B_19_muerte,"En medio de la impulsiva decision el loco cree que algo le robaste y
procede a matarte"
